title,company,url,description
DevOps Engineer,BULLISH SG LLP,https://www.mycareersfuture.gov.sg/job/engineering/devops-engineer-bullish-sg-b93340e15afba681313e588a24e3e8a4?source=MCF&event=Search,"Roles & Responsibilities

About Bullish.com

The Bullish Group has built an ecosystem focused on developing financial services for the digital assets sector through technology and investment businesses. These include: Bullish Exchange - digital asset trading services that utilize central limit order matching and proprietary market making technology to deliver deep liquidity and tight spreads within a compliant framework. The business is licensed by the Hong Kong SFC, German Federal Financial Supervisory Authority (BaFIN), and the Gibraltar Financial Services Commission. Since its launch in November 2021, Bullish Exchange has surpassed US$1.1 trillion in total trading volume, with 2H 2024 volume exceeding US$2 billion per day. Bullish Capital - an investment company which offers strategic capital, industry expertise and an extensive network of resources to support initiatives that connect conventional finance with the revolutionary possibilities of the digital economy. CoinDesk - an award-winning media, events, indices and data business servicing the global crypto economy.

Team Overview:
Join our Global DevOps team, spanning APAC and the US, where experienced and passionate engineers drive automation and tooling around CI/CD. We focus on enabling a smooth Software Development Life Cycle (SDLC) for our engineers and stakeholders. Our team is responsible for developing and supporting pipelines, deployment strategies, secret management, and other tools that enhance operational efficiency.

Position Overview:
As a Senior DevOps Engineer, you should have an insatiable appetite for automation and innovative solutions. You will play a pivotal role in designing, implementing, and maintaining our CI/CD infrastructure and deployment pipelines. You will collaborate closely with application development, operations, and security teams to ensure seamless integration and delivery of our applications. Your expertise in Kubernetes, Helm, Terraform, Google Cloud Platform (GCP), Python, Bash, Ansible, and ArgoCD will be essential in advancing our DevOps initiatives.

Key Responsibilities:
Develop and maintain CI/CD pipelines using tools like Buildkite and other tools to ensure efficient and reliable software delivery.
Manage Kubernetes application delivery at scale using tools like Helm, Kustomize or other similar technologies, ensuring high availability and performance.
Automate infrastructure provisioning and configuration management using IaC tools like Terraform.
Collaborate with development teams to optimize application performance and scalability.
Implement security best practices and ensure compliance with industry standards.
Align with the organization’s DevOps strategy and drive its implementation.
Design infrastructure that supports our architecture and accelerates feature delivery.
Stay informed on industry trends, shape best practices, and drive innovation.
Qualifications:
Bachelor’s degree in Computer Science, Engineering, or a related field, or equivalent experience.
7+ years of experience in a DevOps or similar role, with a focus on cloud-based infrastructure.
Strong understanding of Linux/Unix systems, OS fundamentals and networking concepts.
Strong programming skills in Python and Bash for scripting and automation tasks.
Proficiency with Kubernetes for container orchestration in Production environments.
Proficiency with Hashicorp tools like Terraform for Infrastructure-as-Code (IaC) and Packer.
Deep understanding of configuration management tools like Ansible.
Deep understanding of cloud platforms like GCP or AWS.
Deep understanding of operating CI/CD tools at scale with best practices.
Deep understanding of GitOps and ArgoCD or similar tools for continuous deployment.
Familiarity with serverless technologies like Lambdas, Cloud Run or equivalent.
Strong problem-solving skills and the ability to work independently and as part of a team.
Excellent communication skills and the ability to collaborate effectively with cross-functional and cross-regional teams.
Strong organizational skills to manage multiple projects simultaneously.
Preferred Qualifications:
Experience with CI/CD systems such as Buildkite.
Experience with Google Cloud Platform (GCP).
Experience with setting up CI/CD for Java projects with Gradle.
Experience with microservices architecture and containerization.
Certification in Kubernetes, GCP, Terraform, or related technologies.
Experience working in regulated and audited environments - financial institutions etc.

Bullish is proud to be an equal opportunity employer. We are fast evolving and striving towards being a globally-diverse company. With integrity at our core, our success is driven by a talented team of individuals and the different perspectives they are encouraged to bring to work every day."
Cloud Platform Engineer (AWS / DevOps),ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,https://www.mycareersfuture.gov.sg/job/banking-finance/cloud-platform-engineer-allegis-group-singapore-d6ae1d86d987c393f36806bf72cf20c4?source=MCF&event=Search,"Roles & Responsibilities
Location: Singapore (Hybrid – 4 days in office)
TEKsystems is a leading provider of technology consulting, committed to delivering innovative solutions and exceptional service to our clients. We’re hiring a Cloud Platform Engineer to join a high-performing tech team at a leading institutional investment firm.
🌐 About the Role
You'll help build and scale a secure, cloud-native developer platform used by hundreds of backend engineers. This is part of a multi-year cloud transformation initiative designed to enhance developer efficiency and internal platform reliability.
If you're an ex-software engineer who transitioned into DevOps or platform engineering — and you’re passionate about solving developer pain points at scale — this role is for you!
🛠 What You’ll Do
Build and support an internal cloud development platform as part of a cross-functional engineering team
Collaborate with backend developers to understand workflows and improve developer experience
Deploy and manage infrastructure on AWS using tools like Terraform, Docker, Kubernetes (EKS)
Develop automation pipelines and CI/CD workflows using GitHub Actions, Jenkins, or similar tools
Integrate monitoring and logging tools like CloudWatch, Datadog, Splunk for observability
Maintain system performance, troubleshoot issues, and support platform scaling
Work closely with engineering teams across departments to enable smooth cloud migration and adoption
✅ What We’re Looking For
We’re looking for someone with a strong software development background who has transitioned into DevOps or platform engineering.
Must-Have Skills:
4–5 years of experience in software engineering (Java, JavaScript, Python, or .NET)
2+ years of hands-on experience with AWS (EKS, EC2, IAM, S3, VPC, etc.)
Proficiency in containerization tools: Docker, Kubernetes, Helm
Strong Linux administration and shell scripting skills
Experience with Infrastructure-as-Code (Terraform or CloudFormation)
Familiarity with CI/CD tools (e.g. GitHub Actions, GitLab CI, Jenkins)
Working knowledge of logging/monitoring tools like Datadog, Splunk, CloudWatch
Strong problem-solving skills and ability to work across teams
Nice-to-Haves:
Experience in cloud migration or internal developer platforms
Experience with artifact management tools (e.g., JFrog Artifactory)
Strong communication and documentation skills
🧠 Who Will Succeed in This Role?
This role is ideal for someone who:
Has transitioned from backend development into DevOps/platform engineering
Enjoys solving technical challenges that improve developer productivity
Can explain systems clearly and collaborate across departments
Brings a deep understanding of cloud infrastructure and developer workflows
🌟 Why Join?
Join a tech-driven, well-funded institution on a multi-year cloud transformation
Be part of a team where engineers have the freedom to innovate and improve developer platforms
Work on enterprise-scale systems with the latest cloud-native technologies.
We regret to inform that only shortlisted candidates will be notified.

EA registration number : Garey Gan Chia Wen, R24124837

Allegis Group Singapore Pte Ltd, Company Reg No. 200909448N, EA License No. 10C4544"
DevOps Engineer,IKAS INTERNATIONAL (ASIA) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/devops-engineer-ikas-international-1c702bc21889c535c52bae6c0ab00902?source=MCF&event=SuggestedJob,"Roles & Responsibilities
We are looking to speak to DevOps Engineers!

Responsibilities
Participate to the automation of the deployment solution.
Build, release, and deploy the platform on top of Jupyter Lab and Jupyter Hub;
Monitor the health of the platform and plan its capacity;
Secure the platform to prevent security breaches or unintended usage;
Tailor the platform to support evolving customer needs.
Monitor the results and quality of the different software solutions and projects implemented in the organisation
Ensure continuous improvement and maintenance of the CI-CD pipeline.

Requirements
Proficient in Linux, Docker, Kubernetes and Helm charts;
Good experience with shell-scripting;
Good experience with Git, ideally with Gitlab;
Good experience with Continuous Delivery, ideally with ArgoCD;
Good experience with Monitoring, ideally with Grafana;
Hands-on experience with Python or a similar programming language.

""Sanderson-iKas"" is the brand name for iKas International (Asia) Pte Ltd, a company incorporated in Singapore under Company UEN No.: 200914065E with EA license number 16S8086.
Website: www.sanderson-ikas.sg"
